"","mpg","overall_pick","pick_bucket","educational_prestige","team_conference"
"530",14.7,33,"SecondRound","PowerSchool","Western"
"531",16.5,34,"SecondRound","OtherCollege","Eastern"
"532",5.1,35,"SecondRound","NonCollegiate","Western"
"533",13.3,36,"SecondRound","OtherCollege","Western"
"534",1.6,37,"SecondRound","OtherCollege","Eastern"
"535",7.4,38,"SecondRound","OtherCollege","Eastern"
"536",28.9,39,"SecondRound","OtherCollege","Eastern"
"537",5,40,"SecondRound","NonCollegiate","Eastern"
"538",37,41,"SecondRound","OtherCollege","Western"
"539",3.8,42,"SecondRound","OtherCollege","Eastern"
"540",17.7,43,"SecondRound","OtherCollege","Eastern"
"541",9.9,44,"SecondRound","OtherCollege","Eastern"
"542",9.6,45,"SecondRound","PowerSchool","Western"
"543",7.6,46,"SecondRound","PowerSchool","Western"
"544",3,47,"SecondRound","OtherCollege","Eastern"
"545",9.2,48,"SecondRound","OtherCollege","Eastern"
"546",14.9,49,"SecondRound","OtherCollege","Eastern"
"549",8.4,52,"SecondRound","OtherCollege","Western"
"550",19.1,53,"SecondRound","OtherCollege","Western"
"551",12,54,"SecondRound","OtherCollege","Western"
"552",12.8,55,"SecondRound","OtherCollege","Western"
"553",11,56,"SecondRound","PowerSchool","Western"
"554",8.1,57,"SecondRound","OtherCollege","Western"
"555",7.9,58,"SecondRound","OtherCollege","Eastern"
