"","total_games_played","overall_pick","pick_bucket","educational_prestige","team_conference"
"1770",184,28,"MidtoLateFirst","OtherCollege","Western"
"1771",161,29,"MidtoLateFirst","PowerSchool","Western"
"1772",137,30,"MidtoLateFirst","OtherCollege","Eastern"
"1773",94,31,"SecondRound","OtherCollege","Eastern"
"1774",63,32,"SecondRound","OtherCollege","Western"
"1775",72,33,"SecondRound","OtherCollege","Eastern"
"1776",119,34,"SecondRound","OtherCollege","Eastern"
"1777",12,35,"SecondRound","NonCollegiate","Eastern"
"1778",171,36,"SecondRound","OtherCollege","Eastern"
"1779",23,37,"SecondRound","NonCollegiate","Western"
"1780",169,38,"SecondRound","OtherCollege","Eastern"
"1781",29,39,"SecondRound","NonCollegiate","Western"
"1782",72,40,"SecondRound","OtherCollege","Western"
"1783",158,41,"SecondRound","PowerSchool","Western"
"1784",71,42,"SecondRound","OtherCollege","Eastern"
